application_id,customer_id,pincode,applied_amount,loan_type,loan_start_date,income,occupation,status,successful_payments,delayed_payments,total_payments,interest_rate,tenure_months,npa_flag
1,4007,110080,382000.0,Education,2023-09-03,4729780,Self-Employed,Ongoing,21,3,24,15.04,6,0
2,7615,110080,410000.0,MSME,2022-08-24,593753,Self-Employed,Rejected,27,0,27,13.42,18,0
3,3768,110080,356000.0,MSME,2020-02-16,769490,Salaried,Rejected,63,26,89,10.39,72,0
4,2736,110080,185000.0,MSME,2023-12-20,263826,Business Owner,Closed,78,1,79,12.54,24,0
5,11324,110080,448000.0,Home,2019-03-08,1839346,Salaried,Rejected,22,3,25,13.58,48,0
6,4234,110080,673000.0,Home,2020-09-30,1051758,Salaried,Approved,11,1,12,15.56,120,0
7,2836,110080,439000.0,Personal,2023-06-30,634142,Salaried,Ongoing,56,31,87,11.46,12,0
8,6062,110080,349000.0,Home,2024-01-18,449656,Retired,Approved,13,1,14,18.28,24,0
9,3687,110080,720000.0,MSME,2024-09-12,1052568,Student,Defaulted (NPA),6,2,8,12.65,12,1
10,3153,110080,133000.0,Home,2023-10-15,595830,Salaried,Closed,68,11,79,12.72,120,0
11,8016,110080,442000.0,MSME,2019-12-18,2833813,Business Owner,Approved,32,19,51,10.19,12,0
12,5991,110080,535000.0,Personal,2022-09-24,494206,Salaried,Approved,3,0,3,13.81,120,0
13,4008,110080,406000.0,MSME,2022-09-04,688998,Salaried,Inquired,93,1,94,13.26,84,0
14,3319,110080,499000.0,MSME,2021-01-11,209902,Salaried,Closed,74,0,74,15.9,120,0
15,5270,110080,535000.0,Gold,2022-11-22,495205,Salaried,Inquired,35,0,35,9.49,18,0
16,4594,110080,553000.0,Gold,2019-09-09,954448,Salaried,Approved,12,0,12,9.87,18,0
17,1515,110080,487000.0,Home,2020-12-31,4831553,Business Owner,Rejected,21,10,31,10.43,120,0
18,579,110080,442000.0,Personal,2021-12-25,780187,Salaried,Rejected,34,10,44,10.34,36,0
19,4019,110080,528000.0,Personal,2022-02-26,5031333,Self-Employed,Approved,40,0,40,10.8,18,0
20,6313,110080,720000.0,Home,2021-10-26,773422,Salaried,Closed,6,0,6,14.02,84,0
21,11428,110080,436000.0,Personal,2019-04-02,633112,Self-Employed,Closed,61,26,87,16.26,84,0
22,134,110080,316000.0,Personal,2024-01-07,2812079,Student,Closed,59,1,60,15.87,36,0
23,8087,110080,569000.0,Home,2024-01-25,2933495,Student,Closed,62,19,81,13.65,96,0
24,411,110080,759000.0,Home,2024-09-22,3352070,Salaried,Inquired,36,21,57,13.19,36,0
25,7163,110080,423000.0,Home,2023-08-24,605994,Salaried,Approved,2,0,2,9.39,60,0
26,1138,110080,439000.0,MSME,2022-12-01,365186,Salaried,Approved,73,25,98,14.91,96,0
27,7196,110080,363000.0,Home,2024-04-02,774461,Self-Employed,Inquired,50,8,58,18.12,6,0
28,9828,110080,369000.0,Home,2023-06-07,1073644,Self-Employed,Approved,62,10,72,13.19,24,0
29,5514,110080,453000.0,Education,2024-11-26,848321,Business Owner,Closed,22,1,23,13.64,72,0
30,9152,110080,296000.0,Home,2021-11-09,322839,Self-Employed,Ongoing,51,11,62,8.58,18,0
31,391,110080,687000.0,Home,2020-01-30,357614,Salaried,Closed,61,32,93,17.01,18,0
32,5695,110080,357000.0,Personal,2025-01-18,508831,Self-Employed,Ongoing,4,0,4,16.79,60,0
33,2774,110080,472000.0,Personal,2025-01-16,515939,Business Owner,Approved,32,5,37,16.63,6,0
34,1958,110080,201000.0,Personal,2020-08-07,832953,Salaried,Ongoing,73,25,98,14.16,84,0
35,3274,110080,310000.0,Asset,2021-05-29,358732,Salaried,Ongoing,5,0,5,11.94,60,0
36,4473,110080,383000.0,Personal,2021-08-07,272484,Self-Employed,Closed,43,12,55,12.21,96,0
37,8421,110080,542000.0,Home,2019-02-08,617402,Salaried,Closed,76,8,84,9.15,96,0
38,6378,110080,226000.0,Gold,2023-04-01,232803,Salaried,Rejected,11,6,17,15.22,60,0
39,5971,110080,250000.0,Personal,2023-08-10,4917549,Business Owner,Approved,36,5,41,17.79,72,0
40,6042,110080,301000.0,Home,2022-02-11,2231591,Salaried,Closed,5,1,6,12.17,6,0
41,11245,110080,453000.0,MSME,2020-04-06,970926,Self-Employed,Ongoing,58,15,73,12.43,6,0
42,1539,110080,521000.0,Personal,2024-09-23,1061356,Self-Employed,Rejected,48,10,58,7.7,24,0
43,10143,110080,518000.0,Gold,2020-08-22,2422177,Self-Employed,Defaulted (NPA),68,32,100,16.63,96,1
44,4910,110080,315000.0,Gold,2020-09-18,2866359,Salaried,Closed,76,19,95,14.94,36,0
45,5264,110080,381000.0,Asset,2023-08-04,272248,Salaried,Rejected,70,13,83,8.8,18,0
46,6620,110080,653000.0,Asset,2020-02-09,1027262,Student,Ongoing,4,1,5,8.97,72,0
47,7605,110080,536000.0,MSME,2024-04-13,1201286,Student,Approved,62,36,98,9.44,24,0
48,1649,110080,585000.0,MSME,2022-03-27,744607,Business Owner,Rejected,91,4,95,17.32,12,0
49,137,110080,279000.0,MSME,2024-01-23,946391,Self-Employed,Approved,51,4,55,7.9,48,0
50,3117,110080,516000.0,Asset,2023-01-07,568618,Retired,Inquired,41,20,61,18.14,96,0
51,11579,110080,223000.0,Personal,2024-05-30,3884134,Salaried,Approved,40,2,42,8.6,18,0
52,7052,110080,293000.0,MSME,2020-01-04,3995811,Salaried,Closed,83,10,93,8.58,120,0
53,7527,110080,387000.0,Home,2024-05-22,3179232,Student,Ongoing,45,0,45,14.65,24,0
54,23,110080,361000.0,Personal,2019-08-12,1781063,Business Owner,Closed,89,4,93,18.22,72,0
